2014-04-02 23:00:00;126'030;126'150;125'255;125'270
2014-05-02 23:00:00;125'270;125'305;125'170;125'185
2014-06-02 23:00:00;125'195;126'090;125'070;125'290
2014-09-02 23:00:00;125'275;126'035;125'265;125'310
2014-10-02 23:00:00;125'305;125'315;125'145;125'160
2014-11-02 23:00:00;125'165;125'195;125'030;125'080
2014-12-02 23:00:00;125'085;125'260;125'080;125'240
2014-13-02 23:00:00;125'245;125'310;125'180;125'205
2014-16-02 23:00:00;125'210;125'235;125'180;125'210
2014-17-02 23:00:00;125'220;126'020;125'165;125'305
2014-18-02 23:00:00;125'300;126'090;125'210;125'215
2014-19-02 23:00:00;125'215;126'020;125'115;125'160
2014-20-02 23:00:00;125'170;125'205;125'085;125'200
2014-23-02 23:00:00;125'195;125'240;125'115;125'165
2014-24-02 23:00:00;125'170;125'280;125'155;125'250
2014-25-02 23:00:00;125'255;126'055;125'220;126'040
2014-26-02 23:00:00;126'045;126'130;126'015;126'105
2014-27-02 23:00:00;124'240;124'275;124'060;124'195
2014-02-03 23:00:00;125'025;125'025;124'215;124'315
2014-03-03 23:00:00;125'000;125'005;124'070;124'090
2014-04-03 23:00:00;124'090;124'145;124'020;124'075
2014-05-03 23:00:00;124'085;124'105;123'285;124'010
2014-06-03 23:00:00;124'020;124'050;123'105;123'175
2014-09-03 22:00:00;123'190;123'240;123'135;123'215
2014-10-03 22:00:00;123'200;123'270;123'160;123'240
2014-11-03 22:00:00;123'240;124'070;123'220;124'010
2014-12-03 22:00:00;124'005;124'235;123'250;124'210
2014-13-03 22:00:00;124'195;125'000;124'150;124'180
2014-16-03 22:00:00;124'190;124'230;124'085;124'100
2014-17-03 22:00:00;124'105;124'190;124'080;124'150
2014-18-03 22:00:00;124'160;124'190;123'050;123'135
2014-19-03 22:00:00;123'135;123'190;123'075;123'135
2014-20-03 22:00:00;123'145;123'175;123'085;123'160
2014-23-03 22:00:00;123'150;123'170;123'025;123'135
2014-24-03 22:00:00;123'135;123'180;123'085;123'115
2014-25-03 22:00:00;123'110;123'295;123'090;123'265
2014-26-03 22:00:00;123'260;123'305;123'185;123'245
2014-27-03 22:00:00;123'240;123'290;123'130;123'145
2014-30-03 22:00:00;123'145;123'175;123'040;123'175
2014-31-03 22:00:00;123'170;123'175;123'090;123'135
2014-01-04 22:00:00;123'130;123'135;122'270;122'285
2014-02-04 22:00:00;122'285;123'030;122'265;122'285
2014-03-04 22:00:00;122'285;123'230;122'225;123'225
2014-06-04 22:00:00;123'210;124'000;123'200;123'265
2014-07-04 22:00:00;123'260;124'030;123'225;124'015
2014-08-04 22:00:00;124'005;124'085;123'230;124'065
2014-09-04 22:00:00;124'060;124'290;124'045;124'170
2014-10-04 22:00:00;124'165;124'300;124'150;124'230
2014-13-04 22:00:00;124'265;125'025;124'145;124'155
2014-14-04 22:00:00;124'160;124'280;124'115;124'180
2014-15-04 22:00:00;124'180;124'205;124'095;124'135
2014-16-04 22:00:00;124'130;124'175;123'200;123'230
2014-20-04 22:00:00;123'230;123'305;123'185;123'240
2014-21-04 22:00:00;123'240;123'285;123'160;123'235
2014-22-04 22:00:00;123'240;124'030;123'210;123'265
2014-23-04 22:00:00;123'265;124'020;123'190;123'315
2014-24-04 22:00:00;123'310;124'100;123'295;124'035
2014-27-04 22:00:00;124'020;124'065;123'240;123'285
2014-28-04 22:00:00;123'290;124'020;123'220;123'315
2014-29-04 22:00:00;124'005;124'145;123'260;124'140
2014-30-04 22:00:00;124'135;124'255;124'095;124'190
2014-01-05 22:00:00;124'185;124'290;123'250;124'240
2014-04-05 22:00:00;124'225;124'285;124'165;124'185
2014-05-05 22:00:00;124'185;124'225;124'140;124'210
2014-06-05 22:00:00;124'210;124'310;124'150;124'275
2014-07-05 22:00:00;124'270;125'050;124'245;125'000
2014-08-05 22:00:00;125'000;125'060;124'290;125'000
2014-11-05 22:00:00;124'310;124'315;124'215;124'220
2014-12-05 22:00:00;124'230;125'045;124'205;125'035
2014-13-05 22:00:00;125'030;125'260;125'010;125'195
2014-14-05 22:00:00;125'185;126'050;125'125;125'315
2014-15-05 22:00:00;125'300;126'005;125'220;125'225
2014-18-05 22:00:00;125'220;126'015;125'210;125'215
2014-19-05 22:00:00;125'215;126'015;125'200;125'305
2014-20-05 22:00:00;125'305;126'035;125'180;125'260
2014-21-05 22:00:00;125'255;125'280;125'180;125'210
2014-22-05 22:00:00;125'210;125'290;125'195;125'255
2014-25-05 22:00:00;125'240;125'265;125'220;125'245
2014-26-05 22:00:00;125'240;125'295;125'195;125'285
2014-27-05 22:00:00;125'285;126'170;125'280;126'135
2014-28-05 22:00:00;126'135;126'245;126'070;126'075
2014-29-05 22:00:00;125'150;125'175;125'070;125'110
2014-01-06 22:00:00;125'105;125'125;124'255;124'295
2014-02-06 22:00:00;124'300;125'000;124'110;124'110
2014-03-06 22:00:00;124'115;124'200;124'060;124'100
2014-04-06 22:00:00;124'110;124'225;124'010;124'165
2014-05-06 22:00:00;124'165;124'310;124'095;124'130
2014-08-06 22:00:00;124'115;124'125;124'020;124'075
2014-09-06 22:00:00;124'080;124'115;123'295;123'305
2014-10-06 22:00:00;123'300;124'080;123'255;124'015
2014-11-06 22:00:00;124'020;124'205;123'290;124'125
2014-12-06 22:00:00;124'115;124'135;123'305;124'090
2014-15-06 22:00:00;124'100;124'165;124'060;124'105
2014-16-06 22:00:00;124'105;124'125;123'270;123'280
2014-17-06 22:00:00;123'280;124'160;123'250;124'160
2014-18-06 22:00:00;124'160;124'235;124'040;124'115
2014-19-06 22:00:00;124'120;124'145;124'025;124'125
2014-22-06 22:00:00;124'120;124'170;124'070;124'075
2014-23-06 22:00:00;124'080;124'205;124'070;124'200
2014-24-06 22:00:00;124'190;125'025;124'175;124'250
2014-25-06 22:00:00;124'245;125'055;124'225;125'010
2014-26-06 22:00:00;125'000;125'090;124'315;125'025
2014-29-06 22:00:00;125'030;125'075;124'305;125'025
2014-30-06 22:00:00;125'025;125'050;124'260;124'270
2014-01-07 22:00:00;124'275;124'315;124'120;124'130
2014-02-07 22:00:00;124'140;124'160;123'260;124'075
2014-03-07 22:00:00;124'080;124'095;124'045;124'075
2014-06-07 22:00:00;124'070;124'135;124'020;124'130
2014-07-07 22:00:00;124'130;124'280;124'105;124'250
2014-08-07 22:00:00;124'245;125'000;124'135;124'300
2014-09-07 22:00:00;124'290;125'155;124'290;125'040
2014-10-07 22:00:00;125'040;125'120;125'010;125'075
2014-13-07 22:00:00;125'070;125'080;124'310;124'315
2014-14-07 22:00:00;124'315;125'080;124'240;124'290
2014-15-07 22:00:00;124'295;125'015;124'240;124'310
2014-16-07 22:00:00;124'315;125'215;124'310;125'200
2014-17-07 22:00:00;125'190;125'235;125'050;125'085
2014-20-07 22:00:00;125'075;125'165;125'060;125'100
2014-21-07 22:00:00;125'100;125'145;125'020;125'135
2014-22-07 22:00:00;125'135;125'175;125'095;125'130
2014-23-07 22:00:00;125'130;125'150;124'305;125'025
2014-24-07 22:00:00;125'035;125'115;124'300;125'105
2014-27-07 22:00:00;125'095;125'105;125'020;125'045
2014-28-07 22:00:00;125'050;125'140;125'010;125'115
2014-29-07 22:00:00;125'110;125'135;124'140;124'210
2014-30-07 22:00:00;124'220;124'245;124'075;124'200
2014-31-07 22:00:00;124'205;125'125;124'130;125'105
2014-03-08 22:00:00;125'080;125'180;125'055;125'145
2014-04-08 22:00:00;125'140;125'175;125'030;125'120
2014-05-08 22:00:00;125'110;125'245;125'100;125'160
2014-06-08 22:00:00;125'165;126'005;125'125;125'305
2014-07-08 22:00:00;125'305;126'175;125'275;125'280
2014-10-08 22:00:00;125'265;126'000;125'235;125'275
2014-11-08 22:00:00;125'275;126'000;125'245;125'250
2014-12-08 22:00:00;125'255;126'070;125'180;126'040
2014-13-08 22:00:00;126'040;126'140;126'005;126'075
2014-14-08 22:00:00;126'080;127'010;126'055;126'210
2014-17-08 22:00:00;126'200;126'210;126'080;126'090
