,Date,open,high,low,close
473,2015-01-27,158.32,158.48,158.15,158.21
474,2015-01-28,158.18,159.19,157.83,159.1
475,2015-01-29,158.95,159.11,158.47,158.55
476,2015-01-30,158.7,159.54,158.62,159.49
477,2015-02-02,159.37,159.5,159.16,159.28
478,2015-02-03,159.34,159.37,158.66,158.74
479,2015-02-04,158.66,159.04,158.52,158.85
480,2015-02-05,159.13,159.18,158.32,158.58
481,2015-02-06,158.57,158.96,158.32,158.45
482,2015-02-09,158.59,159.11,158.45,158.68
483,2015-02-10,158.61,158.8,158.18,158.55
484,2015-02-11,158.57,158.88,158.52,158.78
485,2015-02-12,158.77,159.24,158.45,159.13
486,2015-02-13,159.09,159.13,158.72,158.81
487,2015-02-16,158.82,159.37,158.77,159.31
488,2015-02-17,159.36,159.36,158.29,158.45
489,2015-02-18,158.54,158.72,158.23,158.64
490,2015-02-19,158.71,158.88,158.33,158.51
491,2015-02-20,158.5,159.2,158.2,158.37
492,2015-02-23,158.53,158.95,158.41,158.94
493,2015-02-24,158.94,158.95,158.51,158.94
494,2015-02-25,158.95,159.58,158.9,159.55
495,2015-02-26,159.53,160.0,159.47,159.68
496,2015-02-27,159.79,159.8,159.22,159.51
497,2015-03-02,159.44,159.64,159.01,159.01
498,2015-03-03,159.09,159.26,158.74,158.81
499,2015-03-04,158.77,159.04,158.6,158.76
500,2015-03-05,156.5,157.33,155.81,157.0
501,2015-03-06,157.15,157.16,156.12,156.23
502,2015-03-09,156.23,157.37,156.2,157.3
503,2015-03-10,157.3,158.49,157.26,158.44
504,2015-03-11,158.4,158.79,158.14,158.55
505,2015-03-12,158.61,158.83,157.9,157.98
506,2015-03-13,157.94,158.18,157.58,157.93
507,2015-03-16,158.03,158.06,157.46,157.71
508,2015-03-17,157.78,157.83,157.5,157.59
509,2015-03-18,157.67,159.13,157.62,159.05
510,2015-03-19,158.92,159.0,158.45,158.75
511,2015-03-20,158.79,158.98,158.59,158.86
512,2015-03-23,158.88,158.95,158.24,158.4
513,2015-03-24,158.39,158.67,158.1,158.32
514,2015-03-25,158.33,158.56,158.13,158.17
515,2015-03-26,158.29,158.56,158.17,158.4
516,2015-03-27,158.44,158.6,158.05,158.5
517,2015-03-30,158.51,158.89,158.39,158.46
518,2015-03-31,158.54,158.88,158.35,158.8
519,2015-04-01,158.73,159.21,158.56,158.88
520,2015-04-02,158.91,159.07,158.62,158.79
521,2015-04-07,158.86,158.9,158.63,158.87
522,2015-04-08,158.95,159.19,158.93,159.12
523,2015-04-09,159.14,159.44,159.0,159.03
524,2015-04-10,159.04,159.37,159.01,159.14
525,2015-04-13,159.2,159.4,159.03,159.33
526,2015-04-14,159.34,159.62,159.24,159.41
527,2015-04-15,159.48,160.05,159.44,159.96
528,2015-04-16,159.93,160.4,159.9,160.3
529,2015-04-17,160.32,160.69,160.21,160.38
530,2015-04-20,160.35,160.51,160.24,160.33
531,2015-04-21,160.36,160.44,159.82,159.89
532,2015-04-22,159.96,160.18,159.11,159.16
533,2015-04-23,159.24,159.58,159.02,159.16
534,2015-04-24,159.18,159.38,158.93,159.35
535,2015-04-27,159.4,159.55,159.03,159.17
536,2015-04-28,159.2,159.47,159.05,159.13
537,2015-04-29,159.18,159.21,157.6,157.75
538,2015-04-30,157.74,157.89,156.42,156.99
539,2015-05-04,156.67,156.75,155.46,155.53
540,2015-05-05,155.53,156.22,154.6,154.91
541,2015-05-06,154.73,154.97,153.7,153.78
542,2015-05-07,153.59,154.44,151.44,154.37
543,2015-05-08,154.36,154.96,153.56,154.63
544,2015-05-11,154.77,155.03,153.39,153.42
545,2015-05-12,153.29,153.51,152.27,152.91
546,2015-05-13,152.96,154.16,151.97,152.1
547,2015-05-14,152.15,153.21,152.01,152.87
548,2015-05-15,153.11,153.9,153.01,153.56
549,2015-05-18,153.46,153.84,153.24,153.42
550,2015-05-19,153.54,154.77,153.48,153.82
551,2015-05-20,153.88,154.46,153.55,153.73
552,2015-05-21,153.69,153.99,153.0,153.47
