,Instrument,Ticker,Date,% change,open,high,low,close
2302,Nasdaq 100,NQ,2021-11-16,0.15032749919467392,16297.75,16396.5,16270.0,16322.25
2303,Nasdaq 100,NQ,2021-11-17,1.1211517843467647,16322.5,16508.0,16303.5,16505.5
2304,Nasdaq 100,NQ,2021-11-18,0.515050065896105,16503.25,16628.5,16490.25,16588.25
2305,Nasdaq 100,NQ,2021-11-21,-1.2153431424225545,16600.25,16767.5,16364.5,16398.5
2306,Nasdaq 100,NQ,2021-11-22,-0.6158912128788359,16399.0,16418.75,16118.5,16298.0
2307,Nasdaq 100,NQ,2021-11-23,0.334350700142636,16300.25,16368.5,16102.0,16354.75
2308,Nasdaq 100,NQ,2021-11-24,0.2720048899755483,16360.0,16436.0,16352.25,16404.5
2309,Nasdaq 100,NQ,2021-11-25,-2.2080672934794165,16405.75,16413.0,15988.0,16043.5
2310,Nasdaq 100,NQ,2021-11-28,2.2886610787399064,16046.5,16437.75,16038.0,16413.75
2311,Nasdaq 100,NQ,2021-11-29,-1.1008587611913043,16419.0,16456.25,16068.75,16238.25
2312,Nasdaq 100,NQ,2021-11-30,-2.340081594950348,16238.75,16427.5,15825.25,15858.75
2313,Nasdaq 100,NQ,2021-12-01,0.7849985055138688,15891.75,16066.25,15762.75,16016.5
2314,Nasdaq 100,NQ,2021-12-02,-2.075530586766547,16020.0,16121.75,15538.0,15687.5
2315,Nasdaq 100,NQ,2021-12-05,0.8462578541318635,15716.25,15897.25,15559.25,15849.25
2316,Nasdaq 100,NQ,2021-12-06,3.2683965612429944,15848.75,16374.5,15824.5,16366.75
2317,Nasdaq 100,NQ,2021-12-07,0.13447021790287295,16360.5,16436.75,16251.5,16382.5
2318,Nasdaq 100,NQ,2021-12-08,-1.3796892646744539,16380.5,16420.0,16120.25,16154.5
2319,Nasdaq 100,NQ,2021-12-09,1.013288779567148,16160.25,16337.5,16136.0,16324.0
2320,Nasdaq 100,NQ,2021-12-12,-1.4196888017642664,16324.0,16413.0,16063.75,16092.25
2321,Nasdaq 100,NQ,2021-12-13,-1.0007458975634052,16088.0,16132.75,15734.0,15927.0
2322,Nasdaq 100,NQ,2021-12-14,2.2364869106660876,15929.0,16300.0,15740.25,16285.25
2323,Nasdaq 100,NQ,2021-12-15,-2.501841846758353,16288.0,16457.0,15793.0,15880.5
2324,Nasdaq 100,NQ,2021-12-16,-0.31175210983751356,15878.0,15956.5,15651.75,15828.5
2325,Nasdaq 100,NQ,2021-12-19,-0.8444289825737741,15809.5,15851.75,15492.0,15676.0
2326,Nasdaq 100,NQ,2021-12-20,1.9123722028167265,15674.25,15987.25,15605.0,15974.0
2327,Nasdaq 100,NQ,2021-12-21,1.2547718881031358,15979.0,16183.0,15881.5,16179.5
2328,Nasdaq 100,NQ,2021-12-22,0.7601977750309032,16180.0,16356.0,16145.25,16303.0
2329,Nasdaq 100,NQ,2021-12-26,1.6299431129920094,16304.25,16580.75,16304.25,16570.0
2330,Nasdaq 100,NQ,2021-12-27,-0.32144635769584795,16565.75,16659.5,16452.25,16512.5
2331,Nasdaq 100,NQ,2021-12-28,-0.1937808459745014,16513.5,16564.25,16387.5,16481.5
2332,Nasdaq 100,NQ,2021-12-29,-0.3199975734781191,16484.5,16567.5,16411.25,16431.75
2333,Nasdaq 100,NQ,2021-12-30,-0.605562655955211,16431.0,16464.0,16313.75,16331.5
2334,Nasdaq 100,NQ,2022-01-02,0.8544265101491817,16356.0,16508.0,16292.0,16495.75
2335,Nasdaq 100,NQ,2022-01-03,-1.4335288145353218,16497.75,16564.0,16139.5,16261.25
2336,Nasdaq 100,NQ,2022-01-04,-3.1401782969566483,16265.0,16269.0,15752.75,15754.25
2337,Nasdaq 100,NQ,2022-01-05,0.1918959638410911,15763.75,15895.75,15598.5,15794.0
2338,Nasdaq 100,NQ,2022-01-06,-1.4650276077016855,15801.75,15852.75,15510.0,15570.25
2339,Nasdaq 100,NQ,2022-01-09,0.16356638871070572,15590.0,15669.0,15152.5,15615.5
2340,Nasdaq 100,NQ,2022-01-10,1.2946278545023944,15622.25,15839.5,15475.0,15824.5
2341,Nasdaq 100,NQ,2022-01-11,0.4375710855554189,15826.0,16009.25,15762.5,15895.25
2342,Nasdaq 100,NQ,2022-01-12,-2.510848374316083,15901.0,15979.75,15458.25,15501.75
2343,Nasdaq 100,NQ,2022-01-13,0.7207352466946162,15505.0,15621.0,15312.5,15616.75
2344,Nasdaq 100,NQ,2022-01-16,-0.3681944066467082,15616.75,15653.25,15507.25,15559.25
2345,Nasdaq 100,NQ,2022-01-17,-2.072355738336981,15562.0,15603.25,15170.75,15239.5
2346,Nasdaq 100,NQ,2022-01-18,-1.3239274874907778,15238.75,15372.0,15011.25,15037.0
2347,Nasdaq 100,NQ,2022-01-19,-2.104073526234444,15042.25,15340.25,14646.75,14725.75
2348,Nasdaq 100,NQ,2022-01-20,-2.1158809944301,14722.0,14858.5,14408.5,14410.5
2349,Nasdaq 100,NQ,2022-01-23,0.6436502428868778,14410.0,14582.0,13706.0,14502.75
2350,Nasdaq 100,NQ,2022-01-24,-3.951362538806478,14495.0,14499.0,13890.0,13922.25
2351,Nasdaq 100,NQ,2022-01-25,1.4718009393711213,13945.5,14639.75,13945.5,14150.75
2352,Nasdaq 100,NQ,2022-01-26,-0.565379737917425,14194.0,14409.25,13844.5,14113.75
2353,Nasdaq 100,NQ,2022-01-27,1.852799491803566,14167.75,14442.0,13831.0,14430.25
2354,Nasdaq 100,NQ,2022-01-30,2.864259028642593,14454.0,14914.75,14353.25,14868.0
2355,Nasdaq 100,NQ,2022-01-31,1.6679277007145856,14868.75,15137.0,14729.25,15116.75
2356,Nasdaq 100,NQ,2022-02-01,-1.7565602485293113,15129.0,15260.0,14825.0,14863.25
2357,Nasdaq 100,NQ,2022-02-02,-0.3282275711159741,14852.5,14870.0,14456.25,14803.75
